Tract_Name,County,Municipality,Median_RE_Taxes,Data_Vintage, 
Somerset County Census Tract 507.03,Somerset,Bridgewater Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Somerset County Census Tract 541,Somerset,Bernards Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Somerset County Census Tract 529.04,Somerset,Bedminster Township,8357,2017-2021 American Community Survey 5-Year Estimates, 
Somerset County Census Tract 536.03,Somerset,Branchburg Township,9778,2017-2021 American Community Survey 5-Year Estimates, 
Somerset County Census Tract 542.02,Somerset,Montgomery Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Somerset County Census Tract 542.01,Somerset,Montgomery Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Somerset County Census Tract 537.07,Somerset,Hillsborough Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Somerset County Census Tract 522.04,Somerset,Warren Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Somerset County Census Tract 539.04,Somerset,Montgomery Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Somerset County Census Tract 536.04,Somerset,Branchburg Township,9095,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 90,Middlesex,Woodbridge Township,8320,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 56.01,Middlesex,New Brunswick City,6243,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 19.01,Middlesex,Edison Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 19.02,Middlesex,Edison Township,8471,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 19.03,Middlesex,Edison Township,7696,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 21.01,Middlesex,Metuchen Borough,10000,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 60.02,Middlesex,New Brunswick City,5000,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 79.11,Middlesex,Old Bridge Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
